Source	Target	MI
ENSG00000060971	HSA-MIR-148A	0.170595
ENSG00000099326	HSA-MIR-424	0.170579
ENSG00000175182	HSA-MIR-28	0.170477
ENSG00000164010	HSA-MIR-369	0.170312
ENSG00000102007	HSA-MIR-497	0.170308
ENSG00000005844	HSA-MIR-221	0.170248
ENSG00000124151	HSA-MIR-139	0.170218
ENSG00000075292	HSA-MIR-675	0.17015
ENSG00000005001	HSA-MIR-330	0.170119
ENSG00000183773	HSA-MIR-136	0.170005
ENSG00000035664	HSA-MIR-365A	0.169828
ENSG00000155380	HSA-MIR-145	0.169805
ENSG00000182810	HSA-MIR-20B	0.169793
ENSG00000130787	HSA-MIR-27B	0.169785
ENSG00000099365	HSA-MIR-203A	0.169779
ENSG00000136738	HSA-MIR-141	0.169673
ENSG00000171234	HSA-MIR-29C	0.169654
ENSG00000154229	HSA-MIR-99A	0.169651
ENSG00000117385	HSA-MIR-214	0.169636
ENSG00000145414	HSA-MIR-15A	0.169608
ENSG00000128739	HSA-MIR-135A-1	0.169514
ENSG00000122012	HSA-MIR-328	0.169471
ENSG00000040933	HSA-MIR-2355	0.169408
ENSG00000007314	HSA-MIR-199A-1	0.169387
ENSG00000068971	HSA-MIR-26B	0.16928
ENSG00000134825	HSA-MIR-495	0.169279
ENSG00000074842	HSA-MIR-20A	0.169237
ENSG00000099949	HSA-MIR-577	0.169225
ENSG00000140323	HSA-MIR-514A-1	0.169125
ENSG00000104983	HSA-MIR-664B	0.169103
ENSG00000165512	HSA-MIR-744	0.168878
ENSG00000107938	HSA-MIR-125B-1	0.168874
ENSG00000170396	HSA-MIR-27B	0.168867
ENSG00000140443	HSA-LET-7I	0.168831
ENSG00000100028	HSA-MIR-889	0.16873
ENSG00000244045	HSA-MIR-107	0.168692
ENSG00000136738	HSA-MIR-151B	0.168691
ENSG00000120800	HSA-MIR-30D	0.16866
ENSG00000135835	HSA-MIR-135A-1	0.168611
ENSG00000115484	HSA-MIR-3613	0.168601
ENSG00000115677	HSA-MIR-375	0.168558
ENSG00000103342	HSA-MIR-653	0.168478
ENSG00000112837	HSA-MIR-653	0.168423
ENSG00000161647	HSA-MIR-34A	0.168413
ENSG00000136732	HSA-MIR-1468	0.168395
ENSG00000135362	HSA-MIR-129-2	0.168305
ENSG00000151617	HSA-MIR-140	0.168289
ENSG00000173486	HSA-MIR-375	0.168264
ENSG00000125746	HSA-MIR-188	0.168207
ENSG00000185046	HSA-MIR-874	0.168105
ENSG00000173276	HSA-MIR-889	0.168068
ENSG00000198680	HSA-MIR-27A	0.168058
ENSG00000255302	HSA-MIR-3170	0.168035
ENSG00000143919	HSA-MIR-32	0.168019
ENSG00000171219	HSA-MIR-19A	0.167938
ENSG00000182742	HSA-MIR-10A	0.167824
ENSG00000173269	HSA-MIR-151A	0.167813
ENSG00000131503	HSA-MIR-374A	0.16781
ENSG00000169258	HSA-MIR-891A	0.167738
ENSG00000160094	HSA-MIR-660	0.167641
ENSG00000205309	HSA-MIR-503	0.167635
ENSG00000006282	HSA-LET-7E	0.167625
ENSG00000183023	HSA-MIR-335	0.167566
ENSG00000131368	HSA-MIR-199B	0.167553
ENSG00000106278	HSA-MIR-196A-1	0.16752
ENSG00000072954	HSA-MIR-181A-2	0.167472
ENSG00000142405	HSA-MIR-200C	0.167436
ENSG00000151503	HSA-MIR-142	0.167427
ENSG00000244617	HSA-MIR-381	0.167406
ENSG00000169398	HSA-MIR-27A	0.167358
ENSG00000082258	HSA-MIR-758	0.167354
ENSG00000135144	HSA-MIR-1269A	0.167325
ENSG00000166199	HSA-MIR-381	0.167282
ENSG00000185697	HSA-MIR-128-1	0.167246
ENSG00000108578	HSA-MIR-224	0.167221
ENSG00000216490	HSA-MIR-103A-2	0.167182
ENSG00000105427	HSA-MIR-194-2	0.16717
ENSG00000166426	HSA-MIR-431	0.167101
ENSG00000124140	HSA-MIR-381	0.167038
ENSG00000137098	HSA-MIR-199B	0.166983
ENSG00000091656	HSA-MIR-625	0.166882
ENSG00000114988	HSA-MIR-483	0.166859
ENSG00000123453	HSA-MIR-508	0.16684
ENSG00000196391	HSA-MIR-629	0.166804
ENSG00000198752	HSA-MIR-203A	0.16661
ENSG00000172530	HSA-MIR-326	0.166564
ENSG00000125733	HSA-MIR-98	0.166454
ENSG00000235109	HSA-MIR-17	0.166336
ENSG00000147036	HSA-MIR-29A	0.166226
ENSG00000107651	HSA-MIR-483	0.166166
ENSG00000189042	HSA-MIR-185	0.166089
ENSG00000188505	HSA-MIR-221	0.166059
ENSG00000163644	HSA-MIR-139	0.16597
ENSG00000203727	HSA-MIR-126	0.165901
ENSG00000166927	HSA-MIR-126	0.165874
ENSG00000132854	HSA-MIR-101-1	0.165726
ENSG00000117616	HSA-MIR-1287	0.165667
ENSG00000166250	HSA-MIR-27A	0.165649
ENSG00000100523	HSA-MIR-205	0.165611
ENSG00000126903	HSA-MIR-129-2	0.165605
ENSG00000141934	HSA-MIR-340	0.165592
ENSG00000155666	HSA-MIR-133A-2	0.165572
ENSG00000185088	HSA-MIR-664B	0.16553
ENSG00000165474	HSA-MIR-891A	0.165528
ENSG00000197245	HSA-MIR-664B	0.165456
ENSG00000143442	HSA-MIR-582	0.165431
ENSG00000138100	HSA-MIR-103A-2	0.165418
ENSG00000198331	HSA-MIR-1306	0.165412
ENSG00000205352	HSA-MIR-214	0.165352
ENSG00000140368	HSA-MIR-181C	0.165347
ENSG00000113249	HSA-MIR-22	0.165324
ENSG00000169398	HSA-MIR-24-1	0.16525
ENSG00000102699	HSA-MIR-93	0.165246
ENSG00000185477	HSA-MIR-887	0.165163
ENSG00000176076	HSA-MIR-889	0.165126
ENSG00000128011	HSA-MIR-218-1	0.165119
ENSG00000091879	HSA-MIR-106B	0.165113
ENSG00000091592	HSA-MIR-22	0.165073
ENSG00000165458	HSA-MIR-483	0.165057
ENSG00000120705	HSA-MIR-744	0.165005
ENSG00000090316	HSA-MIR-30C-2	0.16499
ENSG00000137513	HSA-MIR-375	0.164877
ENSG00000103152	HSA-MIR-153-2	0.164858
ENSG00000160404	HSA-MIR-142	0.164853
ENSG00000197150	HSA-MIR-379	0.164827
ENSG00000272047	HSA-MIR-199B	0.164681
ENSG00000204304	HSA-MIR-484	0.164665
ENSG00000165194	HSA-MIR-26A-1	0.164653
ENSG00000161180	HSA-MIR-4772	0.164652
ENSG00000139687	HSA-MIR-191	0.164632
ENSG00000111726	HSA-MIR-489	0.164628
ENSG00000131876	HSA-MIR-196A-2	0.164619
ENSG00000185651	HSA-MIR-96	0.164604
ENSG00000184575	HSA-MIR-185	0.164581
ENSG00000167770	HSA-MIR-29B-2	0.164533
ENSG00000137764	HSA-MIR-4772	0.16449
ENSG00000124067	HSA-MIR-326	0.164449
ENSG00000172828	HSA-MIR-23B	0.164405
ENSG00000084234	HSA-MIR-139	0.164274
ENSG00000161091	HSA-MIR-625	0.164231
ENSG00000259040	HSA-MIR-664A	0.164196
ENSG00000138030	HSA-MIR-1306	0.164189
ENSG00000125967	HSA-MIR-181B-1	0.164156
ENSG00000090621	HSA-MIR-130B	0.164143
ENSG00000135722	HSA-MIR-539	0.164115
ENSG00000166813	HSA-MIR-378A	0.164101
ENSG00000225968	HSA-MIR-1468	0.163843
ENSG00000221843	HSA-MIR-508	0.163837
ENSG00000124253	HSA-MIR-4772	0.163641
ENSG00000048028	HSA-MIR-25	0.16362
ENSG00000107566	HSA-MIR-133A-2	0.163612
ENSG00000183087	HSA-MIR-196A-1	0.163536
ENSG00000180900	HSA-MIR-24-2	0.163519
ENSG00000141867	HSA-MIR-505	0.163514
ENSG00000198964	HSA-MIR-214	0.16351
ENSG00000070214	HSA-MIR-98	0.163467
ENSG00000019186	HSA-MIR-497	0.163435
ENSG00000146083	HSA-MIR-182	0.163358
ENSG00000143669	HSA-MIR-181C	0.163334
ENSG00000121933	HSA-MIR-369	0.163313
ENSG00000084623	HSA-MIR-369	0.163302
ENSG00000137038	HSA-MIR-27A	0.163239
ENSG00000182154	HSA-MIR-503	0.163237
ENSG00000143340	HSA-MIR-200C	0.163177
ENSG00000197283	HSA-MIR-500A	0.163157
ENSG00000175768	HSA-MIR-27A	0.163153
ENSG00000145431	HSA-MIR-330	0.163105
ENSG00000205060	HSA-MIR-188	0.163096
ENSG00000122679	HSA-MIR-9-1	0.163048
ENSG00000171094	HSA-MIR-223	0.163047
ENSG00000198252	HSA-MIR-891A	0.163045
ENSG00000137077	HSA-MIR-576	0.163035
ENSG00000125124	HSA-MIR-326	0.163022
ENSG00000183808	HSA-MIR-129-2	0.163008
ENSG00000158769	HSA-MIR-28	0.16292
ENSG00000176148	HSA-MIR-590	0.162905
ENSG00000134758	HSA-MIR-30D	0.1629
ENSG00000115204	HSA-MIR-374B	0.162873
ENSG00000146700	HSA-MIR-188	0.162824
ENSG00000137745	HSA-MIR-18A	0.162811
ENSG00000115758	HSA-MIR-339	0.162792
ENSG00000134207	HSA-MIR-514A-2	0.162759
ENSG00000240053	HSA-MIR-369	0.162682
ENSG00000143106	HSA-MIR-493	0.162619
ENSG00000170581	HSA-MIR-489	0.162588
ENSG00000106443	HSA-MIR-598	0.162542
ENSG00000198010	HSA-MIR-503	0.162496
ENSG00000170367	HSA-MIR-758	0.162492
ENSG00000144426	HSA-MIR-193B	0.162442
ENSG00000165194	HSA-MIR-7-1	0.162433
ENSG00000258818	HSA-MIR-424	0.162417
ENSG00000130713	HSA-MIR-503	0.162396
ENSG00000197903	HSA-MIR-135A-1	0.162322
ENSG00000113282	HSA-MIR-23A	0.162303
ENSG00000104866	HSA-MIR-4662A	0.162267
ENSG00000055732	HSA-MIR-885	0.162225
ENSG00000165475	HSA-MIR-187	0.162221
ENSG00000049449	HSA-MIR-654	0.162201
ENSG00000140474	HSA-MIR-365A	0.162198
ENSG00000108511	HSA-MIR-10A	0.162127
ENSG00000083642	HSA-MIR-30E	0.162044
