Source	Target	MI
ENSG00000171045	HSA-MIR-224	0.171921
ENSG00000169727	HSA-MIR-505	0.171919
ENSG00000120324	HSA-MIR-187	0.171797
ENSG00000114923	HSA-MIR-23A	0.171754
ENSG00000133392	HSA-MIR-133A-1	0.171748
ENSG00000153956	HSA-MIR-190A	0.171709
ENSG00000135437	HSA-MIR-200C	0.171687
ENSG00000183309	HSA-MIR-708	0.171623
ENSG00000198818	HSA-MIR-4668	0.171546
ENSG00000124214	HSA-MIR-30A	0.171512
ENSG00000127663	HSA-MIR-1296	0.171421
ENSG00000115041	HSA-MIR-15A	0.171414
ENSG00000172379	HSA-MIR-4662A	0.171291
ENSG00000139714	HSA-MIR-101-2	0.171288
ENSG00000006451	HSA-LET-7A-1	0.171193
ENSG00000105327	HSA-MIR-34A	0.171187
ENSG00000107521	HSA-MIR-505	0.171179
ENSG00000137731	HSA-MIR-708	0.171092
ENSG00000153936	HSA-MIR-103A-2	0.171059
ENSG00000116885	HSA-MIR-217	0.171033
ENSG00000109472	HSA-LET-7I	0.170994
ENSG00000152256	HSA-MIR-505	0.170708
ENSG00000132514	HSA-MIR-362	0.170583
ENSG00000121005	HSA-MIR-31	0.170562
ENSG00000181634	HSA-MIR-145	0.170561
ENSG00000176387	HSA-MIR-92A-1	0.17053
ENSG00000079263	HSA-MIR-190A	0.170461
ENSG00000219481	HSA-MIR-1296	0.170458
ENSG00000134333	HSA-MIR-30A	0.17043
ENSG00000167996	HSA-MIR-103A-1	0.170418
ENSG00000111319	HSA-MIR-200B	0.170415
ENSG00000164129	HSA-MIR-505	0.170353
ENSG00000213533	HSA-MIR-190A	0.170318
ENSG00000170214	HSA-MIR-24-2	0.170212
ENSG00000165181	HSA-MIR-338	0.170205
ENSG00000160991	HSA-MIR-99A	0.170163
ENSG00000140519	HSA-MIR-203B	0.170158
ENSG00000116903	HSA-MIR-379	0.170149
ENSG00000157087	HSA-MIR-129-2	0.170126
ENSG00000093217	HSA-MIR-22	0.170117
ENSG00000158747	HSA-MIR-187	0.170078
ENSG00000143771	HSA-MIR-452	0.170047
ENSG00000187546	HSA-MIR-505	0.170011
